scorer,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
1876,373.88116455078125,149.77139282226562,0.999996542930603,331.41339111328125,113.07390594482422,0.9999202489852905,319.46295166015625,155.13204956054688,0.999897837638855,177.41519165039062,121.39230346679688,0.999919056892395
1877,375.1614074707031,150.5259552001953,0.9999910593032837,328.13055419921875,113.66498565673828,0.999980092048645,317.6932678222656,155.73471069335938,0.9997410178184509,177.40257263183594,120.76666259765625,0.9999072551727295
1878,375.12249755859375,150.5646209716797,0.9999897480010986,325.83892822265625,113.42900848388672,0.9999812841415405,316.2392272949219,155.9452362060547,0.9996733665466309,177.7935028076172,119.49373626708984,0.9998893737792969
1879,374.4856262207031,151.81768798828125,0.9999864101409912,324.514404296875,113.25142669677734,0.9999798536300659,313.5570068359375,155.17466735839844,0.9998732805252075,177.9296417236328,119.40861511230469,0.9999129772186279
1880,372.903564453125,151.59754943847656,0.9999918937683105,324.54486083984375,113.02653503417969,0.9999760389328003,312.48162841796875,154.82077026367188,0.9999113082885742,177.7800750732422,119.89080810546875,0.9998855590820312
1881,372.59674072265625,151.48873901367188,0.9999940395355225,324.5461730957031,113.19163513183594,0.9999802112579346,312.5728454589844,154.92491149902344,0.9999041557312012,178.1830291748047,119.39059448242188,0.999907374382019
1882,371.8236999511719,151.623291015625,0.9999940395355225,324.4091491699219,113.28724670410156,0.9999812841415405,312.86572265625,154.80133056640625,0.999897837638855,178.55300903320312,119.37149047851562,0.9999349117279053
1883,372.05810546875,150.7624969482422,0.9999966621398926,324.04058837890625,113.33554077148438,0.9999828338623047,313.0176086425781,154.0402069091797,0.9998817443847656,178.69654846191406,119.67686462402344,0.9999289512634277
1884,371.9717102050781,150.4661865234375,0.9999966621398926,325.1808776855469,112.58463287353516,0.9999767541885376,313.3404846191406,153.88751220703125,0.9998577833175659,178.62435913085938,119.7324447631836,0.9999291896820068
1885,371.0670471191406,150.1995086669922,0.999997615814209,323.7210998535156,112.01566314697266,0.9999669790267944,312.6495056152344,153.62649536132812,0.9998800754547119,178.47781372070312,119.11071014404297,0.9999498128890991
1886,370.5369873046875,150.39320373535156,0.9999974966049194,322.37701416015625,111.30601501464844,0.9999409914016724,311.96405029296875,153.7342987060547,0.9998999834060669,178.05030822753906,119.62809753417969,0.9999136924743652
1887,369.888671875,149.7573699951172,0.9999974966049194,321.13641357421875,111.73352813720703,0.9999240636825562,310.77862548828125,153.91944885253906,0.9999438524246216,177.94618225097656,119.3690414428711,0.9999253749847412
1888,369.978759765625,148.96009826660156,0.9999983310699463,320.7144775390625,110.50437927246094,0.9998540878295898,310.7740173339844,152.5936737060547,0.9999716281890869,177.739990234375,119.37071228027344,0.9999140501022339
1889,370.68865966796875,149.3462371826172,0.9999983310699463,321.48382568359375,110.82511901855469,0.9999011754989624,311.0779724121094,152.6263885498047,0.9999724626541138,177.7904510498047,119.24256896972656,0.9999175071716309
1890,369.9400939941406,147.84336853027344,0.9999984502792358,321.19873046875,110.97396850585938,0.9999043941497803,310.49090576171875,153.02793884277344,0.9999686479568481,177.7820587158203,120.82982635498047,0.9998984336853027
1891,369.50225830078125,148.83656311035156,0.9999980926513672,321.5951843261719,111.62897491455078,0.9999363422393799,310.3556213378906,154.05894470214844,0.9999473094940186,177.523681640625,120.24044799804688,0.9998972415924072
1892,369.9084167480469,148.56167602539062,0.9999982118606567,320.6434020996094,110.95342254638672,0.9998873472213745,310.4510498046875,153.46246337890625,0.9999569654464722,178.0212860107422,120.42654418945312,0.9998509883880615
1893,369.40728759765625,148.05357360839844,0.9999983310699463,320.42987060546875,110.67524719238281,0.9998713731765747,310.0890197753906,153.44578552246094,0.9999613761901855,178.05477905273438,121.06206512451172,0.9999021291732788
1894,369.35516357421875,148.1858367919922,0.9999980926513672,320.61090087890625,110.41403198242188,0.9998557567596436,310.6842956542969,153.5009307861328,0.9999583959579468,177.74969482421875,120.50791931152344,0.9999022483825684
1895,369.0108642578125,147.63827514648438,0.9999979734420776,320.8079833984375,110.6052017211914,0.9998849630355835,310.8194885253906,153.43455505371094,0.9999573230743408,178.0496826171875,120.5819320678711,0.9999023675918579
1896,369.00885009765625,148.4856414794922,0.9999978542327881,320.58941650390625,110.23680114746094,0.9998611211776733,310.42901611328125,153.5170440673828,0.9999586343765259,178.00209045410156,120.63188171386719,0.9998989105224609
